snlgroup_id 1,snlgroup_id 2,snl_id 1,snl_id 2,shared icsd_id,matches
150658,150657,334430,334429,2128,False
150658,150657,334430,334460,2128,False
150658,150657,334430,334470,2128,False
150772,150773,334609,334610,2541,False
150772,150773,334609,334683,2541,False
151110,151109,335246,335248,67822,False
151110,151109,335246,335313,67822,False
151109,151108,335248,335247,67822,False
150954,150968,334917,334947,30619,False
150719,150718,334526,334523,23461,False
150968,150953,334947,334916,30619,False
150953,150952,334916,334914,30619,False
150718,150687,334523,334476,23461,False
150687,150686,334476,334473,23461,False
150733,150631,334547,334546,245669,True/True/True/True
150733,150631,334547,334564,245669,True/True/True/True
150686,150685,334473,334471,23461,False
150686,150685,334473,334508,23461,False
150631,150619,334382,334362,200090,True/True/True/True
150973,150944,334952,334901,30455,False
150944,150943,334901,334899,30455,False
150943,150912,334899,334862,30455,False
154200,93207,349127,194048,27598,False
150912,150911,334862,334861,30455,False
150912,150911,334862,334905,30455,False
150911,150910,334861,334860,30455,False
150910,150913,334860,334863,30455,False
150913,150908,334863,334857,30455,False
150913,150908,334863,334880,30455,False
154149,154258,348916,349273,109296,False
154149,154258,348916,351862,109296,False
154149,154258,348916,352086,109296,False
36859,36858,51028,164429,36316,True/True/True/True
86848,32234,167069,43538,172604,False
86848,32234,167069,127275,172604,False
86848,32234,167069,159285,172604,True/True/False/False
86848,32234,167069,171030,172604,False
86848,32234,167069,174022,172604,True/True/False/False
86848,32234,167069,283093,172604,False
85342,2733,145429,3180,156314,False
110187,42898,241988,338621,89651,True/True/True/True
151768,101902,338269,220944,66663,False
25532,84784,33069,131479,21111,False
150567,150564,334255,334252,15893,False
85790,86786,152059,166099,27678,False
86996,86503,169935,161043,39351,True/True/True/True
86996,86503,169935,332708,39351,True/True/True/True
152109,151964,340900,339329,240866,True/True/True/True
150564,150562,334252,334241,15893,False
151197,151192,335532,335512,94014,False
85811,39271,152330,54492,74396,False
85811,39271,152330,136962,74396,False
85811,39271,152330,227513,74396,False
151192,151158,335512,335421,94014,False
150562,150541,334241,334197,15893,False
151158,151156,335421,335420,94014,False
151158,151156,335421,335531,94014,False
150541,150540,334197,334195,15893,False
150541,150540,334197,334230,15893,False
