snlgroup_id,snlgroup_key,mismatching snl_ids
133216,Ca0.88 Mn4 O12 Pr1.92 Sr1.2--62,293208
133884,Nb4 O12 Sr3.68--62,294289
138718,Au1 Cs1 H3 N1--15,355778
150512,C1 H2 O2--33,334153
151147,H2 O4 U1--64,335396
151996,Fe3 O4--6,339790
153674,N1 O3 V1--57,354312
154142,Mn1 O2--166,348915
154253,Cr3 O1--167,351872
155077,Cd1 Cl6 Mg2 O12--9,353609
155779,Co2 Cu1 O4--74,382632
156862,F3 Mn1--62,362093
158034,Co1 Cu4 Li3 O8--12,376597 392343
158465,Ba1 I4 Sr1--62,359214
158763,N2 Zn3--62,376863
158936,Cu2 Fe2 Li3 O8--12,377405
159071,Fe1 O1--190,377488
159493,Cu1 O4 Te1--10,377746
159674,Br2 O2 W1--26,396283
160088,F4 Li1 Mn1--74,395733
160269,Cr3 O4--15,378534
163139,F5 O1 V2--1,386898
164371,Li3 Mn4 O8--1,383003
165200,Li1 O4 P1 V1--33,387206
165366,Fe1 Li1 O4 Si1--33,388838
165521,F3 Mn1--150,387812
165568,Cu1 Fe1 Li1 O4--74,396268 397496
166919,Li6 S2 Sb1--139,389699
168333,O4 Pr1 Tb1--14,392097
168488,F4 Li1 Mn1--62,398810
169869,Li1 Ni2 O4--212,395627
170711,O1 Rb2--143,398919
174758,F4 Li2 Mn1--7,400459
177510,Li1 Ni1 O2--12,410468
