category,composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
diff. SGs,Cu1 La2 O4,51265,14,,10887,64,mp-36480,,,,,
diff. SGs,N4 Si3,14024,173,,8144,176,mp-988,,,,,
diff. SGs,In1 Sb1,49941,59,,2910,63,mp-21210,,,,,
diff. SGs,Li1 O12 P4 Ti1,161972,15,,174181,1,,,,,,
diff. SGs,Bi1 F1 O1,174274,43,mp-761108,164410,70,,,,,,
diff. SGs,Ba1 C1 O3,87139,11,mp-34195,51251,4,,,,,,
diff. SGs,Ca1 O3 Si1,42336,15,mp-561086,92884,2,,,,,,
diff. SGs,Fe1 O4 Ta1,55507,33,mp-39933,152707,4,,,,,,
diff. SGs,Li1 O12 P3 V2,86733,9,,49737,167,mp-32419,,,,,
diff. SGs,Li1 O12 P3 V2,86733,9,,49511,15,,,,,,
diff. SGs,Li1 O12 P3 V2,86733,9,,49820,13,,,,,,
diff. SGs,Li1 O12 P3 V2,49737,167,mp-32419,49511,15,,,,,,
diff. SGs,Li1 O12 P3 V2,49737,167,mp-32419,49820,13,,,,,,
diff. SGs,Li1 O12 P3 V2,49511,15,,49820,13,,,,,,
diff. SGs,S2 V1,174854,1,,174849,5,,,,,,
diff. SGs,S2 V1,174873,2,mp-849060,119098,12,,,,,,
same SGs,Fe1 O7 P2,85489,14,,49516,14,mp-690058,,,,,
same SGs,Ba2 Cu3 O7 Y1,101417,47,,11501,47,,,,,,
diff. SGs,S2 V1,12127,5,,150411,1,mp-611224,,,,,
diff. SGs,Hg1,14687,12,,150410,166,mp-611219,,,,,
diff. SGs,Na1 Nb1 O3,133709,31,,133707,62,,,,,,
diff. SGs,Na1 Nb1 O3,133709,31,,9147,26,mp-4681,,,,,
diff. SGs,Na1 Nb1 O3,133709,31,,133708,33,,,,,,
diff. SGs,Na1 Nb1 O3,133709,31,,19754,63,mp-4748,,,,,
diff. SGs,Na1 Nb1 O3,133707,62,,9147,26,mp-4681,,,,,
diff. SGs,Na1 Nb1 O3,133707,62,,133708,33,,,,,,
diff. SGs,Na1 Nb1 O3,133707,62,,19754,63,mp-4748,,,,,
